PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P214
Station name, CorralitosCN2007
Begin Date, 2007-09-19
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, P214.pbo.igs08.pos
Offset from source file, 84.80 mm North, -111.12 mm East, -7.41 mm Vertical
Reference position, 37.0010206703 North Latitude, -121.7965693295 East Longitude, 73.27046 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-09-19,0.00, 0.00, 0.00, 2.36, 2.1, 11.65, repro,
2007-09-20,-1.86, 2.35, 2.89, 2.41, 2.08, 11.98, repro,
2007-09-21,-2.03, 0.54, 6.26, 2.5, 2.36, 12.81, repro,
2007-09-22,-1.46, 1.31, -4.20, 2.35, 2.12, 11.93, repro,
2007-09-23,-0.72, 1.97, -0.64, 2.21, 2.01, 11.23, repro,
2007-09-24,-0.18, 2.43, -2.58, 2.33, 2.07, 11.61, repro,
2007-09-25,-1.60, 3.11, -0.77, 2.32, 2.04, 11.68, repro,
2007-09-26,-2.15, 2.81, -1.56, 2.48, 2.25, 12.62, repro,
2007-09-27,-2.54, 0.71, 6.52, 2.27, 2.05, 11.52, repro,
2007-09-28,-1.97, 1.17, 6.05, 2.33, 2.07, 11.81, repro,
2007-09-29,0.33, 1.84, -6.65, 2.41, 2.17, 12.26, repro,
2007-09-30,-0.84, 1.87, 3.24, 2.21, 2.03, 11.31, repro,
2007-10-01,0.11, 1.98, 2.36, 2.41, 2.18, 12.12, repro,
2007-10-02,-1.72, 2.13, 8.78, 2.35, 2.15, 12.29, repro,
2007-10-03,-0.42, 1.30, 6.59, 2.29, 2.11, 11.8, repro,
2007-10-04,-1.06, 0.46, 12.26, 2.28, 2.11, 11.71, repro,
2007-10-05,-0.68, 0.62, 3.68, 2.52, 2.29, 12.92, repro,
2007-10-06,-1.48, -0.26, -0.01, 2.39, 2.2, 12.16, repro,
2007-10-07,-0.93, 1.16, 2.40, 2.28, 2.06, 11.76, repro,
2007-10-08,-0.69, -0.18, 8.26, 2.37, 2.13, 12.2, repro,
2007-10-09,-1.19, 1.39, 4.98, 2.42, 2.23, 12.42, repro,
2007-10-10,0.59, -0.29, 3.75, 2.81, 2.5, 14.17, repro,
2007-10-11,-1.10, 0.51, -3.75, 2.6, 2.4, 13.48, repro,
2007-10-12,-1.77, 1.46, -0.83, 2.78, 2.55, 14.19, repro,
2007-10-13,0.29, 0.78, -5.25, 2.51, 2.28, 12.84, repro,
2007-10-14,-0.62, -0.04, -5.00, 2.29, 2.11, 11.87, repro,
2007-10-15,-0.85, 0.44, 2.92, 2.39, 2.17, 12.25, repro,
2007-10-16,-0.65, 1.74, -4.32, 2.46, 2.27, 12.66, repro,
2007-10-17,-0.09, -0.14, 9.02, 2.81, 2.5, 14.2, repro,
2007-10-18,-0.47, 0.56, 3.32, 2.53, 2.27, 12.88, repro,
2007-10-19,-0.69, 1.28, 2.72, 2.62, 2.36, 13.31, repro,
2007-10-20,1.24, -1.08, 1.35, 2.98, 2.69, 15.03, repro,
2007-10-21,0.41, 0.42, -3.54, 2.66, 2.48, 13.93, repro,
2007-10-22,0.42, 0.84, 3.70, 2.59, 2.39, 13.12, repro,
2007-10-23,0.37, 0.41, 2.22, 2.67, 2.45, 13.8, repro,
2007-10-24,0.34, 0.33, 0.08, 2.91, 2.6, 14.78, repro,
2007-10-25,0.12, -0.04, -6.21, 2.57, 2.3, 12.75, repro,
2007-10-26,-0.10, -0.66, 6.67, 2.58, 2.31, 12.68, repro,
2007-10-27,-0.31, -1.72, -0.44, 2.6, 2.29, 12.86, repro,
2007-10-28,0.51, -0.81, -0.64, 2.5, 2.19, 12.24, repro,
2007-10-29,-0.48, -1.14, 0.18, 2.59, 2.3, 12.78, repro,
2007-10-30,0.83, 0.04, -7.27, 2.7, 2.5, 13.58, repro,
2007-10-31,2.13, -0.66, -9.63, 2.52, 2.24, 12.69, repro,
2007-11-01,2.18, -0.24, -3.20, 2.51, 2.2, 12.27, repro,
2007-11-02,1.60, -0.30, -8.67, 2.61, 2.29, 12.62, repro,
2007-11-03,2.18, -0.65, -3.43, 2.59, 2.29, 12.86, repro,
2007-11-04,3.06, -0.86, 0.23, 2.65, 2.36, 13.31, repro,
2007-11-05,2.37, -0.45, -5.47, 2.49, 2.2, 12.46, repro,
2007-11-06,2.57, -1.25, -5.21, 2.82, 2.46, 13.99, repro,
2007-11-07,2.03, -2.43, 0.21, 2.58, 2.28, 12.63, repro,
2007-11-08,2.70, -2.08, -2.80, 2.66, 2.31, 13.17, repro,
2007-11-09,3.72, -1.48, -3.20, 2.61, 2.26, 12.96, repro,
2007-11-10,1.64, -1.45, -1.84, 2.57, 2.27, 12.92, repro,
2007-11-11,2.52, -2.05, -4.27, 2.56, 2.26, 12.89, repro,
2007-11-12,4.83, 0.50, -0.87, 2.81, 2.5, 14.44, repro,
2007-11-13,3.41, -3.54, -1.32, 2.43, 2.19, 12.34, repro,
2007-11-14,4.20, -0.52, -15.99, 2.48, 2.19, 12.54, repro,
2007-11-15,3.59, -3.10, -3.47, 2.48, 2.22, 12.59, repro,
2007-11-16,4.50, -3.68, -10.77, 2.85, 2.48, 14.42, repro,
2007-11-17,2.50, -1.43, -9.09, 2.62, 2.32, 12.99, repro,
2007-11-18,3.10, -4.06, -1.78, 2.62, 2.29, 13.06, repro,
2007-11-19,3.67, -4.82, -7.09, 2.76, 2.46, 14.08, repro,
2007-11-20,2.48, -4.28, -5.30, 3.11, 2.75, 15.47, repro,
2007-11-21,3.97, -4.12, 5.15, 2.44, 2.23, 12.26, repro,
2007-11-22,3.79, -2.91, -8.76, 2.75, 2.48, 13.68, repro,
2007-11-23,4.72, -3.90, -3.73, 2.66, 2.41, 13.43, repro,
2007-11-24,4.30, -4.37, -5.00, 2.7, 2.52, 13.78, repro,
2007-11-25,5.33, -3.48, -6.70, 2.81, 2.51, 14.38, repro,
2007-11-26,5.65, -4.70, -13.03, 2.82, 2.44, 13.82, repro,
2007-11-27,5.34, -4.46, -23.54, 2.91, 2.61, 14.58, repro,
2007-11-28,3.94, -5.70, -9.33, 2.95, 2.61, 14.61, repro,
2007-11-29,3.82, -4.08, 3.22, 2.6, 2.29, 12.99, repro,
2007-11-30,5.17, -4.78, -10.20, 2.7, 2.33, 13.11, repro,
2007-12-01,3.62, -6.23, 0.89, 2.74, 2.47, 13.07, repro,
2007-12-02,4.23, -4.71, 7.33, 2.68, 2.4, 13.31, repro,
2007-12-03,3.74, -4.67, -6.13, 2.6, 2.33, 13.06, repro,
2007-12-04,4.87, -4.93, -0.96, 3.26, 2.87, 15.96, repro,
2007-12-05,4.24, -4.22, -6.67, 2.8, 2.42, 13.69, repro,
2007-12-06,3.44, -3.84, -5.35, 2.97, 2.57, 14.57, repro,
2007-12-07,3.34, -3.45, 1.04, 3.36, 2.93, 17.15, repro,
2007-12-08,4.48, -3.13, -6.12, 3.09, 2.74, 15.56, repro,
2007-12-09,4.44, -4.16, -0.44, 2.5, 2.38, 12.82, repro,
2007-12-10,4.72, -8.25, -5.88, 2.45, 2.27, 12.15, repro,
2007-12-11,4.05, -3.70, 2.16, 2.67, 2.32, 13.3, repro,
2007-12-12,5.54, -4.31, -6.40, 2.6, 2.28, 12.78, repro,
2007-12-13,3.81, -5.34, 2.80, 2.49, 2.17, 12.14, repro,
2007-12-14,5.32, -5.27, -2.42, 2.53, 2.16, 12.23, repro,
2007-12-15,6.41, -6.62, -6.74, 2.95, 2.62, 15.19, repro,
2007-12-16,6.25, -6.68, -8.26, 2.52, 2.23, 12.3, repro,
2007-12-17,6.61, -7.25, -1.62, 2.51, 2.26, 12.81, repro,
2007-12-18,6.38, -6.47, -0.52, 2.58, 2.29, 13.15, repro,
2007-12-19,4.65, -5.85, 1.33, 2.75, 2.42, 13.75, repro,
2007-12-20,5.45, -6.65, 13.80, 2.66, 2.32, 13.18, repro,
2007-12-21,6.69, -4.49, -0.26, 2.67, 2.29, 13.27, repro,
2007-12-22,5.02, -5.65, -0.41, 2.49, 2.23, 12.57, repro,
2007-12-23,7.79, -4.62, -5.98, 2.65, 2.36, 13.23, repro,
